date,4. close,5. volume
2022-03-25,108.56,3763059.0
2022-03-24,108.05,3618148.0
2022-03-23,106.2,3182484.0
2022-03-22,107.23,3305237.0
2022-03-21,107.39,4665185.0
2022-03-18,107.3,6771085.0
2022-03-17,108.56,5583149.0
2022-03-16,107.11,5183029.0
2022-03-15,106.98,6845078.0
2022-03-14,104.49,5750436.0
2022-03-11,103.47,4799006.0
2022-03-10,104.08,3595063.0
2022-03-09,103.6,4937009.0
2022-03-08,102.36,6801050.0
2022-03-07,104.56,6424192.0
2022-03-04,105.19,5347945.0
2022-03-03,104.54,5741927.0
2022-03-02,104.43,5031794.0
2022-03-01,102.05,5643053.0
2022-02-28,103.65,6678141.0
2022-02-25,104.3,6573395.0
2022-02-24,100.77,7055518.0
2022-02-23,102.24,4947687.0
2022-02-22,101.92,4627127.0
2022-02-18,102.13,4850747.0
2022-02-17,102.3,4635556.0
2022-02-16,103.94,5624043.0
2022-02-15,102.97,4442985.0
2022-02-14,103.0,7663408.0
2022-02-11,104.24,5923053.0
2022-02-10,105.32,8605711.0
2022-02-09,104.79,15269816.0
2022-02-08,110.83,7793373.0
2022-02-07,109.41,5450512.0
2022-02-04,108.49,5473000.0
2022-02-03,108.72,6612956.0
2022-02-02,108.9,8771778.0
2022-02-01,106.27,7040165.0
2022-01-31,106.51,8540096.0
2022-01-28,109.27,10339518.0
2022-01-27,106.79,12386028.0
2022-01-26,104.86,10827916.0
2022-01-25,103.1,7472319.0
2022-01-24,103.51,13770622.0
2022-01-21,101.56,7822766.0
2022-01-20,102.39,6694665.0
2022-01-19,103.45,6631837.0
2022-01-18,104.51,7944004.0
2022-01-14,106.22,6706664.0
2022-01-13,105.34,6511038.0
2022-01-12,105.78,4933767.0
2022-01-11,106.04,8392706.0
2022-01-10,105.06,6105477.0
2022-01-07,104.19,6862180.0
2022-01-06,102.59,9847594.0
2022-01-05,105.81,6957452.0
2022-01-04,104.29,6090020.0
2022-01-03,104.16,4951868.0
2021-12-31,103.16,3250650.0
2021-12-30,103.68,2484575.0
2021-12-29,103.7,2782690.0
2021-12-28,102.77,2732459.0
2021-12-27,102.4,2597143.0
2021-12-23,101.31,3111211.0
2021-12-22,100.9,4318370.0
2021-12-21,100.79,5040324.0
2021-12-20,100.32,5233155.0
2021-12-17,100.36,9412932.0
2021-12-16,101.22,7360847.0
2021-12-15,100.55,7052655.0
2021-12-14,98.78,6282749.0
2021-12-13,98.9,4986106.0
2021-12-10,98.86,9217317.0
2021-12-09,97.31,14096769.0
2021-12-08,93.1,5767935.0
2021-12-07,92.93,3965653.0
2021-12-06,92.65,6039358.0
2021-12-03,90.87,5660427.0
2021-12-02,89.99,5992663.0
2021-12-01,88.78,6224384.0
2021-11-30,89.06,9051659.0
2021-11-29,92.02,5215577.0
2021-11-26,91.52,4240998.0
2021-11-24,92.65,6109424.0
2021-11-23,93.64,6626536.0
2021-11-22,92.99,4335603.0
2021-11-19,93.16,6446434.0
2021-11-18,95.34,8621773.0
2021-11-17,92.73,3878425.0
2021-11-16,92.89,4038623.0
2021-11-15,93.49,3602100.0
2021-11-12,94.02,3778048.0
2021-11-11,94.21,4273335.0
2021-11-10,92.96,4966410.0
2021-11-09,92.76,4287602.0
2021-11-08,93.76,3982095.0
2021-11-05,93.78,7437309.0
2021-11-04,94.49,7417787.0
2021-11-03,96.34,16937994.0
2021-11-02,91.15,6921124.0
