date,4. close,5. volume
2022-03-25,513.03,2492800.0
2022-03-24,513.46,2789323.0
2022-03-23,503.23,2753285.0
2022-03-22,505.32,2682975.0
2022-03-21,507.66,2610551.0
2022-03-18,506.12,4991611.0
2022-03-17,507.02,2357157.0
2022-03-16,498.26,3497127.0
2022-03-15,497.91,3043036.0
2022-03-14,487.92,2704148.0
2022-03-11,482.87,2615085.0
2022-03-10,491.44,2834819.0
2022-03-09,485.57,3115667.0
2022-03-08,473.46,3849520.0
2022-03-07,486.87,4123289.0
2022-03-04,498.65,4172420.0
2022-03-03,486.59,3139373.0
2022-03-02,485.38,3675930.0
2022-03-01,476.25,2917576.0
2022-02-28,475.87,3918405.0
2022-02-25,475.75,3314383.0
2022-02-24,455.89,3933013.0
2022-02-23,459.62,2840271.0
2022-02-22,462.51,2770194.0
2022-02-18,467.81,2992317.0
2022-02-17,470.34,2403087.0
2022-02-16,480.05,2651838.0
2022-02-15,478.23,3001062.0
2022-02-14,474.4,2549550.0
2022-02-11,478.13,2493767.0
2022-02-10,486.72,2626102.0
2022-02-09,498.1,2818193.0
2022-02-08,493.41,3534674.0
2022-02-07,483.7,2937150.0
2022-02-04,483.17,3066628.0
2022-02-03,488.77,4370853.0
2022-02-02,479.78,3026806.0
2022-02-01,468.41,3148584.0
2022-01-31,472.57,3500457.0
2022-01-28,466.06,3364353.0
2022-01-27,461.6,3508851.0
2022-01-26,458.43,4435865.0
2022-01-25,456.84,3428905.0
2022-01-24,462.27,4782531.0
2022-01-21,461.17,4273182.0
2022-01-20,463.0,3228619.0
2022-01-19,462.52,3961802.0
2022-01-18,460.99,3850100.0
2022-01-14,468.69,3665568.0
2022-01-13,467.43,3005301.0
2022-01-12,473.72,3502254.0
2022-01-11,469.0,3330330.0
2022-01-10,465.0,5831782.0
2022-01-07,458.6,5494221.0
2022-01-06,469.65,6555181.0
2022-01-05,489.69,3921068.0
2022-01-04,490.9,3908144.0
2022-01-03,502.28,3034118.0
2021-12-31,502.14,1638257.0
2021-12-30,504.43,1309798.0
2021-12-29,505.58,1573962.0
2021-12-28,502.94,1495560.0
2021-12-27,499.5,1349434.0
2021-12-23,495.38,1706591.0
2021-12-22,494.13,1687590.0
2021-12-21,487.21,2535993.0
2021-12-20,483.73,3145690.0
2021-12-17,487.12,5716464.0
2021-12-16,492.86,4080828.0
2021-12-15,494.38,4188582.0
2021-12-14,479.46,3018220.0
2021-12-13,478.14,2724800.0
2021-12-10,478.23,2572300.0
2021-12-09,473.32,2977510.0
2021-12-08,468.86,3228297.0
2021-12-07,464.73,3105216.0
2021-12-06,460.11,4721697.0
2021-12-03,449.32,3038334.0
2021-12-02,446.02,4738801.0
2021-12-01,444.34,4325958.0
2021-11-30,444.22,7435449.0
2021-11-29,452.0,4079718.0
2021-11-26,439.91,2480600.0
2021-11-24,450.16,2248937.0
2021-11-23,447.13,2857609.0
2021-11-22,437.54,2598754.0
2021-11-19,440.0,3536082.0
2021-11-18,449.47,2073808.0
2021-11-17,448.95,2281511.0
2021-11-16,449.62,3383816.0
2021-11-15,450.8,2849840.0
2021-11-12,458.99,2570170.0
2021-11-11,457.39,2246838.0
2021-11-10,459.9,2818195.0
2021-11-09,464.35,2654207.0
2021-11-08,462.62,2279871.0
2021-11-05,455.81,2904970.0
2021-11-04,456.76,2517324.0
2021-11-03,457.33,2438191.0
2021-11-02,452.04,2595664.0
